Seat,Num_Opponents_by_Seat,Year,Party,Est,Age_Semester,Slate_Size_Previous_Year,Win_Percent_Previous_Year,Num_Parties
ACCOUNTING,1,2018,Impact,SYSTEM,6,47,0.61702128,3
AGRICULTURE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
AGRICULTURE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
AGRICULTURE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
ARCHITECTURE,1,2018,Impact,SYSTEM,6,47,0.61702128,3
BUILDING CONSTRUCTION,2,2018,Impact,SYSTEM,6,47,0.61702128,3
BUSINESS,2,2018,Impact,SYSTEM,6,47,0.61702128,3
BUSINESS,2,2018,Impact,SYSTEM,6,47,0.61702128,3
BUSINESS,2,2018,Impact,SYSTEM,6,47,0.61702128,3
CLAS,2,2018,Impact,SYSTEM,6,47,0.61702128,3
CLAS,2,2018,Impact,SYSTEM,6,47,0.61702128,3
CLAS,2,2018,Impact,SYSTEM,6,47,0.61702128,3
CLAS,2,2018,Impact,SYSTEM,6,47,0.61702128,3
CLAS,2,2018,Impact,SYSTEM,6,47,0.61702128,3
CLAS,2,2018,Impact,SYSTEM,6,47,0.61702128,3
CLAS,2,2018,Impact,SYSTEM,6,47,0.61702128,3
DENTISTRY,1,2018,Impact,SYSTEM,6,47,0.61702128,3
EDUCATION,1,2018,Impact,SYSTEM,6,47,0.61702128,3
ENGINEERING,2,2018,Impact,SYSTEM,6,47,0.61702128,3
ENGINEERING,2,2018,Impact,SYSTEM,6,47,0.61702128,3
ENGINEERING,2,2018,Impact,SYSTEM,6,47,0.61702128,3
ENGINEERING,2,2018,Impact,SYSTEM,6,47,0.61702128,3
FINE ARTS,1,2018,Impact,SYSTEM,6,47,0.61702128,3
FRESHMAN,2,2018,Impact,SYSTEM,6,47,0.61702128,3
FRESHMAN,2,2018,Impact,SYSTEM,6,47,0.61702128,3
GRADUATE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
GRADUATE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
GRADUATE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
GRADUATE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
GRADUATE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
GRADUATE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
GRADUATE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
GRADUATE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
GRADUATE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
GRADUATE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
GRADUATE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
HEALTH_HUMAN,1,2018,Impact,SYSTEM,6,47,0.61702128,3
JOURNALISM,2,2018,Impact,SYSTEM,6,47,0.61702128,3
LAW,1,2018,Impact,SYSTEM,6,47,0.61702128,3
MEDICINE,1,2018,Impact,SYSTEM,6,47,0.61702128,3
NURSING,1,2018,Impact,SYSTEM,6,47,0.61702128,3
PHARMACY,1,2018,Impact,SYSTEM,6,47,0.61702128,3
PUBLIC_HEALTH,2,2018,Impact,SYSTEM,6,47,0.61702128,3
SOPHOMORE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
SOPHOMORE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
SOPHOMORE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
SOPHOMORE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
SOPHOMORE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
SOPHOMORE,2,2018,Impact,SYSTEM,6,47,0.61702128,3
VET MED,0,2018,Impact,SYSTEM,6,47,0.61702128,3
ACCOUNTING,1,2018,Inspire,INDEPENDENT,1,40,0.475,3
AGRICULTURE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
AGRICULTURE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
AGRICULTURE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
ARCHITECTURE,1,2018,Inspire,INDEPENDENT,1,40,0.475,3
BUILDING CONSTRUCTION,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
BUSINESS,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
BUSINESS,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
BUSINESS,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
CLAS,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
CLAS,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
CLAS,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
CLAS,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
CLAS,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
CLAS,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
CLAS,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
DENTISTRY,1,2018,Inspire,INDEPENDENT,1,40,0.475,3
EDUCATION,1,2018,Inspire,INDEPENDENT,1,40,0.475,3
ENGINEERING,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
ENGINEERING,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
ENGINEERING,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
ENGINEERING,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
FINE ARTS,1,2018,Inspire,INDEPENDENT,1,40,0.475,3
FRESHMAN,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
FRESHMAN,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
GRADUATE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
GRADUATE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
GRADUATE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
GRADUATE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
GRADUATE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
GRADUATE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
GRADUATE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
GRADUATE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
GRADUATE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
GRADUATE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
GRADUATE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
HEALTH_HUMAN,1,2018,Inspire,INDEPENDENT,1,40,0.475,3
JOURNALISM,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
LAW,1,2018,Inspire,INDEPENDENT,1,40,0.475,3
MEDICINE,1,2018,Inspire,INDEPENDENT,1,40,0.475,3
NURSING,1,2018,Inspire,INDEPENDENT,1,40,0.475,3
PHARMACY,1,2018,Inspire,INDEPENDENT,1,40,0.475,3
PUBLIC_HEALTH,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
SOPHOMORE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
SOPHOMORE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
SOPHOMORE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
SOPHOMORE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
SOPHOMORE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
SOPHOMORE,2,2018,Inspire,INDEPENDENT,1,40,0.475,3
AGRICULTURE,2,2018,Challenge,INDEPENDENT,0,0,0,3
BUILDING CONSTRUCTION,2,2018,Challenge,INDEPENDENT,0,0,0,3
BUSINESS,2,2018,Challenge,INDEPENDENT,0,0,0,3
BUSINESS,2,2018,Challenge,INDEPENDENT,0,0,0,3
BUSINESS,2,2018,Challenge,INDEPENDENT,0,0,0,3
CLAS,2,2018,Challenge,INDEPENDENT,0,0,0,3
CLAS,2,2018,Challenge,INDEPENDENT,0,0,0,3
CLAS,2,2018,Challenge,INDEPENDENT,0,0,0,3
CLAS,2,2018,Challenge,INDEPENDENT,0,0,0,3
CLAS,2,2018,Challenge,INDEPENDENT,0,0,0,3
CLAS,2,2018,Challenge,INDEPENDENT,0,0,0,3
CLAS,2,2018,Challenge,INDEPENDENT,0,0,0,3
ENGINEERING,2,2018,Challenge,INDEPENDENT,0,0,0,3
ENGINEERING,2,2018,Challenge,INDEPENDENT,0,0,0,3
ENGINEERING,2,2018,Challenge,INDEPENDENT,0,0,0,3
FRESHMAN,2,2018,Challenge,INDEPENDENT,0,0,0,3
FRESHMAN,2,2018,Challenge,INDEPENDENT,0,0,0,3
GRADUATE,2,2018,Challenge,INDEPENDENT,0,0,0,3
GRADUATE,2,2018,Challenge,INDEPENDENT,0,0,0,3
JOURNALISM,2,2018,Challenge,INDEPENDENT,0,0,0,3
PUBLIC_HEALTH,2,2018,Challenge,INDEPENDENT,0,0,0,3
SOPHOMORE,2,2018,Challenge,INDEPENDENT,0,0,0,3
